name,rating,votes,description
Moana 2 (2024),,,
From the Ashes (2024),,,
Space Dogg (2024),,,
"RM: Right People, Wrong Place (2024)",,,
Y2K (2024),,,
The Return (2024),,,
The Order (2024),,,
Nightbitch (2024),,,
Werewolves (2024),,,
Solo Leveling: ReAwakening (2024),,,
Get Away (2024),,,
Me Without Myself (2024),,,
Carol (2024),,,
The Satire (2024),,,
I Am the Immaculate Conception (2024),,,
The Lord of the Rings: The War of the Rohirrim (2024),,,
Kraven the Hunter (2024),,,
September 5 (2024),,,
The Count of Monte-Cristo (2024),,,
Mufasa: The Lion King (2024),,,
Sonic the Hedgehog 3 (2024),,,
Homestead (2024),,,
Elephant Steps (2024),,,
Nosferatu (2024),,,
Babygirl (2024),,,
A Complete Unknown (2024),,,
The Fire Inside (2024),,,
2073 (2024),,,
Alien Wars: Judgement Day (2024),,,
Apophis 2029 (2024),,,
Crystal (2024),,,
Grind (2025),,,
The Damned (2024),,,
The Damned (2024),,,
The Delegator (2024),,,
The Last Showgirl (2024),,,
Den of Thieves 2: Pantera (2025),,,
Disfluency (2021),,,
Paddington in Peru (2024),,,
Better Man (2024),,,
Wolf Man (2025),,,
Flight Risk (2024),,,
Presence (2024),,,
One of Them Days (2025),,,
The Colors Within (2024),,,
Brave the Dark (2023),,,
Inheritance (2025),,,
Bau: Artist at War (2024),,,
Companion (2025),,,
Dog Man (2025),,,
Valiant One (2025),,,
Game of Power (2025),,,
Love Hurts (2025),,,
Bring Them Down (2024),,,
Autumn and the Black Jaguar (2024),,,
Captain America: Brave New World (2025),,,
Bridget Jones: Mad About the Boy (2025),,,
I'm Still Here (2024),,,
Armand (2024),,,
Verona's Romeo & Juliet (2025),,,
Desire Lines (2024),,,
The Monkey (2025),,,
The Unbreakable Boy (2025),,,
Peter Pan's Neverland Nightmare (2025),,,
My Dead Friend Zoe (2024),,,
The Day the Earth Blew Up: A Looney Tunes Movie (2024),,,
Vicious (2025),,,
Last Breath (2025),,,
In the Lost Lands (2025),,,
No Address (2025),,,
Sinners (2025),,,
Night of the Zoopocalypse (2024),,,
The Senior (2023),,,
Black Bag (2025),,,
Novocaine (2025),,,
Snow White (2025),,,
Alto Knights (2024),,,
Levon's Trade (2025),,,
The Woman in the Yard (2025),,,
Kayara (2025),,,
 Gladiator II (2024),7,,"
After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to its people.                    "
 Mission: Impossible - Dead Reckoning Part One (2023),7.7,,"
Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.                    "
 Stree 2 (2024),7,,"
After the events of Stree, the town of Chanderi is being haunted again. This time, women are mysteriously abducted by a terrifying headless entity. Once again, it's up to Vicky and his friends to save their town and loved ones.                    "
 Home Alone (1990),7.7,,"
An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve.                    "
